authorID,authorNameCN,山水,人物,花鸟
AU000004,边景昭,1,0,12
AU000005,边鲁,0,0,1
AU000006,边寿民,0,0,10
AU000009,曹知白,17,0,3
AU000011,曾鲸,0,2,0
AU000012,查士标,27,0,1
AU000013,陈淳,5,0,29
AU000015,陈栝,0,0,7
AU000016,陈洪绶,16,57,47
AU000017,陈及之,0,1,0
AU000018,陈继儒,3,0,15
AU000021,陈嘉言,1,0,5
AU000022,陈居中,0,9,3
AU000023,陈琳,1,1,5
AU000024,陈清波,1,1,0
AU000025,陈容,0,0,14
AU000026,陈汝言,8,0,0
AU000028,陈选,1,0,0
AU000029,陈卓,0,0,2
AU000030,陈子和,1,2,3
AU000031,程嘉燧,5,2,2
AU000032,程棨,0,1,0
AU000033,仇英,57,82,3
AU000035,崔白,0,0,11
AU000036,戴淳,1,0,0
AU000037,戴进,15,16,2
AU000038,戴嵩,0,0,4
AU000040,邓宇,0,0,1
AU000041,翟院深,1,0,0
AU000043,丁野夫,0,1,0
AU000044,丁云鹏,11,29,0
AU000045,董其昌,148,2,1
AU000046,董源,15,0,0
AU000047,杜堇,0,14,0
AU000050,法常,7,4,21
AU000051,法若真,2,0,0
AU000054,方从义,22,0,0
AU000056,高岑,6,0,0
AU000057,高凤翰,2,2,12
AU000058,高简,3,1,2
AU000059,高克恭,18,0,1
AU000060,高然晖,1,0,0
AU000061,高焘,0,0,1
AU000062,高翔,1,0,2
AU000065,龚开,0,1,0
AU000066,龚贤,25,0,0
AU000067,顾安,0,0,8
AU000069,顾闳中,0,1,0
AU000070,顾恺之,0,4,0
AU000073,关仝,3,0,0
AU000074,贯休,0,19,0
AU000075,郭畀,2,0,1
AU000077,郭忠恕,7,4,3
AU000078,韩干,0,1,5
AU000079,韩滉,0,4,4
AU000080,何澄,1,0,0
AU000081,何浩,1,0,0
AU000083,弘仁,23,0,8
AU000084,胡瓌,0,3,0
AU000086,胡廷晖,3,0,0
AU000087,胡直夫,0,2,0
AU000089,华岩,11,9,25
AU000090,华祖立,0,1,0
AU000092,黄鼎,6,0,1
AU000093,黄公望,24,0,0
AU000094,黄居寀,0,0,7
AU000095,黄筌,1,0,10
AU000096,黄慎,5,17,7
AU000098,黄向坚,1,0,0
AU000099,惠崇,2,0,6
AU000102,江参,6,0,0
AU000103,蒋嵩,3,3,0
AU000105,金黼,0,0,1
AU000106,金农,0,5,13
AU000107,金润,1,0,0
AU000108,金廷标,3,16,6
AU000110,荆浩,7,0,0
AU000111,居节,7,0,0
AU000112,巨然,17,0,0
AU000114,柯九思,2,1,5
AU000115,髡残,16,0,0
AU000116,赖庵,0,0,3
AU000117,蓝瑛,99,0,5
AU000118,郎世宁,5,15,62
AU000119,李安忠,2,0,10
AU000121,李成,21,0,2
AU000122,李迪,0,2,27
AU000124,李方膺,0,0,16
AU000125,李公麟,7,46,4
AU000126,李公年,1,0,0
AU000128,李结,1,0,0
AU000129,李衎,0,0,9
AU000132,李山,3,0,4
AU000133,李鳝,0,1,12
AU000134,李升,1,1,0
AU000135,李士行,1,0,2
AU000136,李世倬,12,1,3
AU000137,李思训,5,0,0
AU000139,李嵩,6,14,3
AU000140,李唐,22,12,3
AU000141,李尧夫,0,1,0
AU000142,李在,8,3,0
AU000143,李赞华,0,3,0
AU000144,李昭,0,0,1
AU000145,李昭道,10,0,0
AU000146,李真,0,0,1
AU000147,梁楷,7,19,8
AU000148,梁令瓒,0,1,0
AU000150,林椿,0,0,18
AU000152,林卷阿,0,0,1
AU000153,林良,0,0,29
AU000154,林庭珪,0,1,0
